mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
morning,chaos_top5_per_day,C,500,12.0,58,0.116,13,0.026,0.11206896551724138,27,0.054,0.1148936170212766,7870.517241379311,4450.0,44420,0.7608166666666667,train_to_2026-05-04
morning,chaos_top5_per_day,D,500,9.0,61,0.122,11,0.022,0.09482758620689655,23,0.046,0.09787234042553192,6886.55737704918,3900,44420,0.9335111111111111,train_to_2026-05-04
morning,chaos_top10_per_day,A,1000,24.0,240,0.24,36,0.036,0.17061611374407584,98,0.098,0.22121896162528218,6563.333333333333,3940.0,84110,0.6563333333333333,train_to_2026-05-04
morning,chaos_top10_per_day,B,1000,18.0,159,0.159,26,0.026,0.12322274881516587,75,0.075,0.16930022573363432,7447.798742138365,4790,84110,0.6578888888888889,train_to_2026-05-04
morning,chaos_top10_per_day,C,1000,12.0,126,0.126,18,0.018,0.08530805687203792,58,0.058,0.1309255079006772,6592.619047619048,4370.0,44420,0.692225,train_to_2026-05-04
morning,chaos_top10_per_day,D,1000,9.0,117,0.117,14,0.014,0.06635071090047394,43,0.043,0.09706546275395034,5716.752136752137,3880,44420,0.7431777777777778,train_to_2026-05-04
morning,all,A,6186,24.0,1710,0.27643064985451016,251,0.04057549304881992,0.24321705426356588,515,0.08325250565793728,0.2719112988384372,6270.350877192983,2675.0,222920,0.7222154865826059,valid_after_2026-05-04
morning,all,B,6186,18.0,1159,0.1873585515680569,184,0.029744584545748465,0.17829457364341086,360,0.058195926285160036,0.1900739176346357,6780.431406384814,2720,222920,0.7057621151704566,valid_after_2026-05-04
morning,all,C,6186,12.0,952,0.15389589395408987,120,0.019398642095053348,0.11627906976744186,250,0.0404138376980278,0.13199577613516367,5879.936974789916,2350.0,222920,0.7540817976075008,valid_after_2026-05-04
morning,all,D,6186,9.0,748,0.12091820239249919,100,0.016165535079211122,0.09689922480620156,207,0.03346265761396702,0.10929250263991552,5783.823529411765,2630.0,222920,0.7770772712576787,valid_after_2026-05-04
morning,skip_excluded,A,3915,24.0,1122,0.28659003831417623,156,0.03984674329501916,0.2392638036809816,343,0.0876117496807152,0.2825370675453048,6075.775401069519,2780.0,222920,0.7255236270753512,valid_after_2026-05-04
morning,skip_excluded,B,3915,18.0,758,0.19361430395913154,123,0.031417624521072794,0.18865030674846625,244,0.062324393358876115,0.20098846787479407,6745.672823218997,2880.0,222920,0.7255881935575422,valid_after_2026-05-04
morning,skip_excluded,C,3915,12.0,624,0.15938697318007664,80,0.020434227330779056,0.12269938650306748,168,0.04291187739463601,0.13838550247116968,5846.217948717948,2430.0,222920,0.7765091528309919,valid_after_2026-05-04
